function,GREL,GREL_iri,GREL_signature,GREL_description,GREL_category,GREL_category_2,GREL_category_3,SPARQL,SPARQL_iri,SPARQL_signature,SPARQL_description,SPARQL_category,XPath,XPath_sameas,XPath_iri,Xpath_signature,Xpath_description,Xpath_category,Xpath_category_2,Xpath_operator,SQL,SQL_IRI,SQL_signature,SQL_description,SQL_category,SQL_operator
starts_with,startsWith,https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#startswithstring-s-string-sub,"startsWith(string s, string sub)","Returns boolean indicating whether s starts with sub. For example, startsWith(""food"", ""foo"") returns true, whereas startsWith(""food"", ""bar"") returns false. You could also write the first case as ""food"".startsWith(""foo""). ",String,Basic,,STRSTARTS,https://www.w3.org/TR/sparql11-query/#func-strstarts,"xsd:boolean  STRSTARTS(string literal arg1, string literal arg2)","The STRSTARTS function corresponds to the XPath fn:starts-with function. The arguments must be argument compatible otherwise an error is raised.

For such input pairs, the function returns true if the lexical form of arg1 starts with the lexical form of arg2, otherwise it returns false.",Strings,fn:starts-with,,http://www.w3.org/TR/xpath-functions/#func-starts-with,"fn:starts-with($arg1 as xs:string?, $arg2 as xs:string?) as xs:boolean
fn:starts-with(  $arg1   as xs:string?,
$arg2   as xs:string?,
$collation   as xs:string) as xs:boolean","Returns true if the string $arg1 contains $arg2 as a leading substring, taking collations into account.",Strings,Substring matching,,,,,,,
string_length,length,https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#lengthstring-s,length(string s),Returns the length of s as a number.,String,Basic,,STRLEN,https://www.w3.org/TR/sparql11-query/#func-strlen,xsd:integer  STRLEN(string literal str),The strlen function corresponds to the XPath fn:string-length function and returns an xsd:integer equal to the length in characters of the lexical form of the literal. ,Strings,fno:string-length,,http://www.w3.org/TR/xpath-functions/#func-string-length,"fn:string-length() as xs:integer
fn:string-length($arg as xs:string?) as xs:integer",Returns the number of ·characters· in a string.,Strings,String values,,CHAR_LENGTH,,CHAR_LENGTH( expression ),Returns an integer value representing the number of characters in a string expression.,String,
,,,,,,,,,,,,,fn:months,XForms 1.1,,,,,,,,,,,,
,,,,,,,,,,,,,fn:now,XForms 1.1,,,,,,,,,,,,
,,,,,,,,,,,,,fn:power,XForms 1.1,,,,,,,,,,,,
,,,,,,,,,,,,,fn:property,XForms 1.1,,,,,,,,,,,,
,,,,,,,,,,,,,fn:put,XQuery Update 1.0,,,,,,,,,,,,
,,,,,,,,,,,,,fn:random,XForms 1.1,,,,,,,,,,,,
,,,,,,,,,,,,,fn:regex-group,XSLT 2.0 and 3.0,,,,,,,,,,,,
substring,substring,https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#substrings-number-from-optional-number-to,"substring(s, number from, optional number to)","Returns the substring of s starting from character index from and upto character index to. If to is omitted, it's understood as the end of the string s. For example, substring(""profound"", 3) returns the string found, and substring(""profound"", 2, 4) returns the string of.

Character indexes start from zero. Negative character indexes are understood as counting from the end of the string. For example, substring(""profound"", 1, -1) returns the string rofoun. ",String,Substring,,SUBSTR,https://www.w3.org/TR/sparql11-query/#func-substr,"string literal  SUBSTR(string literal source, xsd:integer startingLoc)
string literal  SUBSTR(string literal source, xsd:integer startingLoc, xsd:integer length)","The substr function corresponds to the XPath fn:substring function and returns a literal of the same kind (simple literal, literal with language tag, xsd:string typed literal) as the source input parameter but with a lexical form formed from the substring of the lexcial form of the source.

The arguments startingLoc and length may be derived types of xsd:integer.

The index of the first character in a strings is 1.",Strings,fn:substring,,http://www.w3.org/TR/xpath-functions/#func-substring,"fn:substring($sourceString as xs:string?, $start as xs:double) as xs:string
fn:substring(  $sourceString   as xs:string?,
$start   as xs:double,
$length   as xs:double) as xs:string",Returns the portion of the value of $sourceString beginning at the position indicated by the value of $start and continuing for the number of ·characters· indicated by the value of $length. ,Strings,String values,,SUBSTRING,,SUBSTRING(extraction_string FROM starting_position [FOR length] [COLLATE collation_name]),Returns a portion of a string.,String,
substring_after,,,,,,,,STRAFTER,https://www.w3.org/TR/sparql11-query/#func-strafter,"literal  STRAFTER(string literal arg1, string literal arg2)","The STRAFTER function corresponds to the XPath fn:substring-after function. The arguments must be argument compatible otherwise an error is raised.

For compatible arguments, if the lexical part of the second argument occurs as a substring of the lexical part of the first argument, the function returns a literal of the same kind as the first argument arg1 (simple literal, plain literal same language tag, xsd:string). The lexical form of the result is the substring of the lexcial form of arg1 that follows the first occurrence of the lexical form of arg2. If the lexical form of arg2 is the empty string, this is considered to be a match and the lexical form of the result is the lexical form of arg1.

If there is no such occurrence, an empty simple literal is returned. ",Strings,fn:substring-after,,http://www.w3.org/TR/xpath-functions/#func-substring-after,"fn:substring-after($arg1 as xs:string?, $arg2 as xs:string?) as xs:string
fn:substring-after(  $arg1   as xs:string?,
$arg2   as xs:string?,
$collation   as xs:string) as xs:string","Returns the part of $arg1 that follows the first occurrence of $arg2, taking collations into account. ",Strings,Substring matching,,,,,,,
,,,,,,,,,,,,,fn:seconds,XForms 1.1,,,,,,,,,,,,
substring_before,,,,,,,,STRBEFORE,https://www.w3.org/TR/sparql11-query/#func-strbefore,"literal  STRBEFORE(string literal arg1, string literal arg2)","The STRBEFORE function corresponds to the XPath fn:substring-before function. The arguments must be argument compatible otherwise an error is raised.

For compatible arguments, if the lexical part of the second argument occurs as a substring of the lexical part of the first argument, the function returns a literal of the same kind as the first argument arg1 (simple literal, plain literal same language tag, xsd:string). The lexical form of the result is the substring of the lexical form of arg1 that precedes the first occurrence of the lexical form of arg2. If the lexical form of arg2 is the empty string, this is considered to be a match and the lexical form of the result is the empty string.

If there is no such occurrence, an empty simple literal is returned. ",Strings,fn:substring-before,,http://www.w3.org/TR/xpath-functions/#func-substring-before,"fn:substring-before($arg1 as xs:string?, $arg2 as xs:string?) as xs:string
fn:substring-before(  $arg1   as xs:string?,
$arg2   as xs:string?,
$collation   as xs:string) as xs:string","Returns the part of $arg1 that precedes the first occurrence of $arg2, taking collations into account",Strings,Substring matching,,,,,,,
,,,,,,,,,,,,,fn:seconds-to-dateTime,XForms 1.1,,,,,,,,,,,,
,,,,,,,,,,,,,fn:snapshot,XSLT 3.0 only,,,,,,,,,,,,
timezone,,,,,,,,timezone,https://www.w3.org/TR/sparql11-query/#func-seconds,xsd:dayTimeDuration  TIMEZONE (xsd:dateTime arg),"Returns the timezone part of arg as an xsd:dayTimeDuration. Raises an error if there is no timezone.

This function corresponds to fn:timezone-from-dateTime except for the treatment of literals with no timezone.",Dates and Times,fn:timezone-from-dateTime,,http://www.w3.org/TR/xpath-functions/#func-timezone-from-dateTime,,,,,,,,,,,
,,,,,,,,,,,,,fn:stream-available,XSLT 3.0 only,,,,,,,,,,,,
upper_case,toUpperCase(s),https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#tolowercasestring-s,toLowercase(string s),Returns s converted to lowercase. ,String,Basic String modification,Case Conversion,UCASE,https://www.w3.org/TR/sparql11-query/#func-ucase,string literal  UCASE(string literal str),The UCASE function corresponds to the XPath fn:upper-case function. It returns a string literal whose lexical form is the upper case of the lexcial form of the argument.,Strings,fn:upper-case,,http://www.w3.org/TR/xpath-functions/#func-upper-case,fn:upper-case($arg as xs:string?) as xs:string,Converts a string to upper case.,Strings,String values,,UPPER,,UPPER(string),Converts a string to all uppercase characters.,String,
year,datePart,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Date-Functions#datepartdate-d-string-unit,"datePart(date d, ""years"" or ""year"")",Returns part of a date. Data type returned depends on the unit. Units supported are:,Date,,,year,https://www.w3.org/TR/sparql11-query/#func-year,xsd:integer  YEAR (xsd:dateTime arg),"Returns the year part of arg as an integer.

This function corresponds to fn:year-from-dateTime.",Dates and Times,fn:year-from-dateTime,,http://www.w3.org/TR/xpath-functions/#func-year-from-dateTime,,,,,,EXTRACT,,EXTRACT( YEAR FROM expression ),,Numeric Scalar,
avg,sum/length,,sum(array a)/length(array a),,,,,Avg,https://www.w3.org/TR/sparql11-query/#defn_aggAvg,Avg(M),The Avg set function calculates the average value for an expression over a group. It is defined in terms of Sum and Count.,Set,fn:avg,XForms 1.1,http://www.w3.org/TR/xpath-functions/#func-avg,fn:avg($arg as xs:anyAtomicType*) as xs:anyAtomicType?,"Returns the average of the values in the input sequence $arg, that is, the sum of the values divided by the number of values.",Aggregate,,,AVG,,AVG(expression),Computes the average value of a column given by expression.,Aggregate,
count,length,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Array-Functions#lengtharray-a,length(array a),Returns the length of array a.,Array,,,Count,https://www.w3.org/TR/sparql11-query/#defn_aggCount,Count(M),"Count is a SPARQL set function which counts the number of times a given expression has a bound, and non-error value within the aggregate group.",Set,fn:count,,http://www.w3.org/TR/xpath-functions/#func-count,fn:count($arg as item()*) as xs:integer,Returns the number of items in a sequence.,Aggregate,,,COUNT,,"COUNT(expression)
COUNT(*)","Counts the rows defined by the expression.
Counts all rows in the specified table or view.",Aggregate,
,,,,,,,,,,,,,fn:system-property,"XSLT 1.0, 2.0, and 3.0",,,,,,,,,,,,
matches,isNotNull(match),https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#matchstring-s-regexp-p,"isNotNull(match(string s, regexp p))","Attempts to match the string s in its entirety against the regex pattern p and returns an array of capture groups. For example, match(""230.22398, 12.3480"", /.*(\d\d\d\d)/) returns an array of 1 string: 3480. match(""230.22398, 12.3480"", /.*\.(\d+).*\.(\d+)/) returns an array of 2 strings: 22398 and 3480.

Another match() example:

isNotNull(value.match(/(a.c)/))

returns True or False if value is like abc or azc , etc but would not match a value of ac. ",String,Basic String modification,Find and Replace,REGEX,https://www.w3.org/TR/sparql11-query/#func-regex,"xsd:boolean  REGEX (string literal text, simple literal pattern)
xsd:boolean  REGEX (string literal text, simple literal pattern, simple literal flags)",Invokes the XPath fn:matches function to match text against a regular expression pattern. The regular expression language is defined in XQuery 1.0 and XPath 2.0 Functions and Operators section 7.6.1 Regular Expression Syntax [FUNCOP].,Strings,fn:matches,,http://www.w3.org/TR/xpath-functions/#func-matches,"fn:matches($input as xs:string?, $pattern as xs:string) as xs:boolean
fn:matches(  $input   as xs:string?,
$pattern   as xs:string,
$flags   as xs:string) as xs:boolean",Returns true if the supplied string matches a given regular expression.,Strings,Regular expressions,,,,,,,
,,,,,,,,,,,,,fn:type-available,XSLT 2.0 and 3.0,,,,,,,,,,,,
,,,,,,,,,,,,,fn:unparsed-entity-public-id,XSLT 2.0 and 3.0,,,,,,,,,,,,
,,,,,,,,,,,,,fn:unparsed-entity-uri,"XSLT 1.0, 2.0, and 3.0",,,,,,,,,,,,
,,,,,,,,,,,,,fn:unparsed-text,XSLT 2.0; migrated to XPath 3.0 and 3.1,,,,,,,,,,,,
min,min,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Math-Functions#minnumber-d1-number-d2,"min(number d1, number d2)",Returns the smaller of two numbers.,Math,,,Min,https://www.w3.org/TR/sparql11-query/#defn_aggMin,Min(M),"Min is a SPARQL set functions that returns the minimum value from a group respectively.

It makes use of the SPARQL ORDER BY ordering definition, to allow ordering over arbitrarily typed expressions.",Set,fn:min,XForms 1.1,http://www.w3.org/TR/xpath-functions/#func-min,"fn:min($arg as xs:anyAtomicType*) as xs:anyAtomicType?
fn:min($arg as xs:anyAtomicType*, $collation as xs:string) as xs:anyAtomicType?",Returns a value that is equal to the lowest value appearing in the input sequence.,Aggregate,,,MIN,,MIN(expression),Finds the minimum value in a column given by expression.,Aggregate,
,,,,,,,,,,,,,fn:xml-to-json,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
sum,sum,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Math-Functions#sumarray-a,sum(array a),Returns the sum of numbers in a.,Math,,,Sum,https://www.w3.org/TR/sparql11-query/#defn_aggSum,Sum(M),"Sum is a SPARQL set function that will return the numeric value obtained by summing the values within the aggregate group. Type promotion happens as per the op:numeric-add function, applied transitively, (see definition below) so the value of SUM(?x), in an aggregate group where ?x has values 1 (integer), 2.0e0 (float), and 3.0 (decimal) will be 6.0 (float).",Set,fn:sum,,http://www.w3.org/TR/xpath-functions/#func-min,"fn:sum($arg as xs:anyAtomicType*) as xs:anyAtomicType
fn:sum(  $arg   as xs:anyAtomicType*,
$zero   as xs:anyAtomicType?) as xs:anyAtomicType?",Returns a value obtained by adding together the values in $arg. ,Aggregate,,,SUM,,SUM(expression),Computes the sum of column values given by expression.,Aggregate,
max,max,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Math-Functions#maxnumber-d1-number-d2,"max(number d1, number d2)",Returns the larger of two numbers.,Math,,,Max,https://www.w3.org/TR/sparql11-query/#defn_aggMax,Max(M),"Max is a SPARQL set function that return the maximum value from a group respectively.

It makes use of the SPARQL ORDER BY ordering definition, to allow ordering over arbitrarily typed expressions.",Set,fn:max,XForms 1.1,http://www.w3.org/TR/xpath-functions/#max,"fn:max($arg as xs:anyAtomicType*) as xs:anyAtomicType?
fn:max($arg as xs:anyAtomicType*, $collation as xs:string) as xs:anyAtomicType?",Returns a value that is equal to the highest value appearing in the input sequence.,Aggregate,,,MAX,,MAX(expression),Finds the maximum value in a column given by expression.,Aggregate,
,,,,,,,,,,,,,map:contains,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:entry,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:find,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:for-each,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:get,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:keys,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:merge,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:put,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:remove,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:size,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
group_concat,join,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Array-Functions#joinarray-a-string-sep,"join(array a, string sep)","Returns the string obtained by joining the array a with the separator sep. For example, join([ ""foo"", ""bar"", ""baz"" ], "";"") returns the string foo;bar;baz.",Array,,,GroupConcat,https://www.w3.org/TR/sparql11-query/#defn_aggGroupConcat,"GroupConcat(M, scalarvals)",GroupConcat is a set function which performs a string concatenation across the values of an expression with a group. The order of the strings is not specified. The separator character used in the concatenation may be given with the scalar argument SEPARATOR.,Set,,,,,,,,,GROUP_CONCAT,,,NOT ANSI!,,
sample,,,,,,,,Sample,https://www.w3.org/TR/sparql11-query/#defn_aggSample,Sample(M),Sample is a set function which returns an arbitrary value from the multiset passed to it.,Set,,,,,,,,,SAMPLE,,,,,
