param type,param name,name,pred,?,req,rep,comment
array,a,array_a,param_a,2,,,
array,a,array_a,param_a,2,,,
array,a,array_a,param_a,2,,,
array,a,array_a,param_a,2,,,
array,a,array_a,param_a,2,,,
array,a,array_a,param_a,2,,,
array,a,array_a,param_a,2,,,
array,a,array_a,param_a,2,,,
array,a,array_a,param_a,2,,,
array,a,array_a,param_a,2,,,
array ,a,array_a,param_a,2,,,
bool,b,bool_b,param_b,2,,,
bool,b1,bool_b,param_b,2,,,
bool,b1,bool_b,param_b,2,,,
bool,b1,bool_b,param_b,2,,,
bool,b2,bool_b2,param_b2,2,,,
bool,b2,bool_b2,param_b2,2,,,
bool,b2,bool_b2,param_b2,2,,,
bool?,b3,bool_rep_b,param_rep_b,2,,Y,
bool?,b3,bool_rep_b,param_rep_b,2,,Y,
bool?,b3,bool_rep_b,param_rep_b,2,,Y,
bool?,b4,bool_rep_b,param_rep_b,2,,_Y,
bool?,b4,bool_rep_b,param_rep_b,2,,_Y,
bool?,b4,bool_rep_b,param_rep_b,2,,_Y,
bool?,b5,bool_rep_b,param_rep_b,2,,_Y,
bool?,b5,bool_rep_b,param_rep_b,2,,_Y,
bool?,b5,bool_rep_b,param_rep_b,2,,_Y,
bool?,b6,bool_rep_b,param_rep_b,2,,_Y,
bool?,b6,bool_rep_b,param_rep_b,2,,_Y,
bool?,b6,bool_rep_b,param_rep_b,2,,_Y,
cell,c,,,,,,openrefine specific?
any,choiceValue,,,,,,openrefine specific?
string,columnName,,,,,,openrefine specific?
string,columnName,,,,,,openrefine specific?
date,d,date_d,param_d,2,,,
date,d,date_d,param_d,2,,,
decimal,d,dec_n,param_n,2,,,
decimal,d,dec_n,param_n,2,,,
decimal,d,dec_n,param_n,2,,,
decimal,d,dec_n,param_n,2,,,
decimal,d,dec_n,param_n,2,,,
decimal,d,dec_n,param_n,2,,,
decimal,d,dec_n,param_n,2,,,
date,d1,date_d,param_d,2,,,
decimal,d1,dec_n,param_n,2,,,
decimal,d1,dec_n,param_n,2,,,
int,d1,int_i,param_i,2,,,
date,d2,date_d2,param_d2,2,,,
decimal,d2,dec_n2,param_n2,2,,,
decimal,d2,dec_n2,param_n2,2,,,
int,d2,int_i2,param_i2,2,,,
any,e,any_e,param_e,2,,,
any,e,any_e,param_e,2,,,
any,e,any_e,param_e,2,,,
any,e,any_e,param_e,2,,,
any,e,any_e,param_e,2,,,
any,e,any_e,param_e,2,,,
any (exec),e,any_e,param_e,2,,,
any (exec),e,any_e,param_e,2,,,
any (exec),e,any_e,param_e,2,,,
any (exec),e,any_e,param_e,2,,,
any (exec),e,any_e,param_e,2,,,
decimal,e,dec_n_exp,param_exp,2,,,
element,e,,,,,,html specific
element,e,,,,,,html specific
element,e,,,,,,html specific
element,e,,,,,,html specific
element,e,,,,,,html specific
element,e,,,,,,html specific
any (exec),eBlank,any_true,param_true,2,,,
any,eFalse,any_false,param_false,2,,,
string,encoder,string_encoder,param_encoder,2,,,
string,encoding,string_encoding,param_encoding,2,,,
any (exec),eNonBlank,any_false,param_false,2,,,
any,eTrue,any_true,param_true,2,,,
string,f,string_find,param_find,2,,,
string,f,string_find,param_find,2,,,
string,facetExpression,,,,,,openrefine specific?
string,field,string_field,param_field,2,,,
string,format,string_format,param_format,2,,,
string?,format1,string_rep_format,param_rep_format,2,,Y,
string?,format2,string_rep_format,param_rep_format,2,,Y,
string?,format3,string_rep_format,param_rep_format,2,,Y,
string?,format4,string_rep_format,param_rep_format,2,,Y,
string?,format5,string_rep_format,param_rep_format,2,,Y,
string/regexp,frag,string_fragment,param_fragment,2,,,
string/regexp,frag,string_fragment,param_fragment,2,,,
int,from,int_i_from,param_from,2,,,
int,from,int_i_from,param_from,2,,,
int,from,int_i_from,param_from,2,,,
int,from,int_i_from,param_from,2,,,
int,from,int_i_from,param_from,2,,,
int,from,int_i_from,param_from,2,,,
URI,i,uri_index,param_index,2,,,
string,key,string_key,param_key,2,,,
string,mode,string_mode,param_mode,2,,,
string,mode,string_mode,param_mode,2,,,
int,n,int_i,param_i,2,,,
int,n,int_i,param_i,2,,,
int,n1,int_i,param_i,2,,,
int,n2,int_i2,param_i2,2,,,
int?,n3,int_rep_i,param_rep_I,2,,Y,
int?,n4,int_rep_i,param_rep_I,2,,_Y,
int?,n5,int_rep_i,param_rep_I,2,,_Y,
string,name,string_field,param_field,2,,,
any,o,any_e,param_e,2,,,
any,o,any_e,param_e,2,,,
any,o,any_e,param_e,2,,,
any,o,any_e,param_e,2,,,
any,o,any_e,param_e,2,,,
any,o,any_e,param_e,2,,,
any (exec),o,any_e,param_e,2,,,
bool (exec),o,bool_b,param_b,2,,,
date,o,date_d,param_d,2,,,
any,o1,any_rep_e,param_rep_e,2,,,
string,o1,string_s,param_s,2,,,
any,o2,any_rep_e,param_rep_e,2,,,
string,o2,string_s2,param_s2,2,,,
any,o3,any_rep_e,param_rep_e,2,,,
any,o4,any_rep_e,param_rep_e,2,,,
any,o5,any_rep_e,param_rep_e,2,,,
any,o6,any_rep_e,param_rep_e,2,,,
bool?,omitFragment,bool_opt_omit,param_omit,2,Y,,
bool?,omitFragment,bool_opt_omit,param_omit,2,Y,,
regexp,p,string_regex,param_regex,2,,,
regexp,p,string_regex,param_regex,2,,,
string,projectName,,,,,,openrefine specific?
string,r,string_replace,param_replace,2,,,
string,r,string_replace,param_replace,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,sep,string_sep,param_sep,2,,,
string,sep,string_sep,param_sep,2,,,
string/regexp,sep,string_sep,param_sep,2,,,
string?,sep,string_opt_sep,param_opt_sep,2,,,
int,step,int_i_step,param_step,2,,,
string,sub,string_sub,param_sub,2,,,
string,sub,string_sub,param_sub,2,,,
string,sub,string_sub,param_sub,2,,,
string,sub,string_sub,param_sub,2,,,
string,sub,string_sub,param_sub,2,,,
string,timeUnit,string_time_unit,param_time_unit,2,,,
int,to,int_i_to,param_to,2,,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
string,unit,string_unit,param_unit,2,,,
string,unit,string_unit,param_unit,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
any,value,any_e,param_e,2,,,
any,value,any_e,param_e,2,,,
decimal,value,dec_n,param_n,2,,,
